"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","0.37390","0.42070","0.87990","0.12570","559.65M","-10.91%"
"2022년 11월","0.41970","1.24220","1.87930","0.34180","55.25M","-66.26%"
"2022년 10월","1.24380","1.78785","2.13284","1.17810","39.49M","-30.34%"
"2022년 9월","1.78550","2.09841","2.25720","1.65537","13.00M","-14.79%"
"2022년 8월","2.09529","2.43663","3.11250","2.01806","18.20M","-14.25%"
"2022년 7월","2.44360","2.84729","2.92943","2.17403","6.98M","-14.18%"
"2022년 6월","2.84729","4.32483","4.41800","2.38681","3.97M","-34.02%"
