"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 02월 01일","45.2102","43.6096","49.9450","42.7219","78.67M","3.67%"
"2022년 01월 31일","43.6096","41.1020","44.1395","39.5918","68.03M","6.01%"
"2022년 01월 30일","41.1365","41.6961","41.8565","40.2807","27.99M","-1.34%"
"2022년 01월 29일","41.6961","40.0176","41.9498","39.9213","41.30M","4.19%"
"2022년 01월 28일","40.0176","38.3282","40.1669","37.6529","29.47M","4.38%"
"2022년 01월 27일","38.3379","36.5111","41.4548","35.1497","51.04M","5.00%"
"2022년 01월 26일","36.5111","36.4921","38.8705","35.4622","67.30M","0.04%"
"2022년 01월 25일","36.4979","35.6441","37.1331","34.5004","38.16M","2.40%"
"2022년 01월 24일","35.6440","36.0219","36.2933","31.3950","83.67M","-1.03%"
"2022년 01월 23일","36.0142","33.4250","36.3888","33.3357","57.31M","7.71%"
"2022년 01월 22일","33.4352","38.5200","39.4216","31.7459","144.88M","-13.37%"
"2022년 01월 21일","38.5975","45.2252","45.9235","37.4703","138.91M","-14.69%"
"2022년 01월 20일","45.2432","46.7360","49.9388","44.9994","72.68M","-3.21%"
"2022년 01월 19일","46.7427","44.9512","46.9763","43.2575","87.45M","3.98%"
"2022년 01월 18일","44.9522","44.4003","45.1829","42.9530","62.90M","1.16%"
"2022년 01월 17일","44.4388","46.4651","46.5548","43.9132","78.54M","-4.36%"
"2022년 01월 16일","46.4654","46.0155","46.6293","45.1877","46.24M","0.93%"
"2022년 01월 15일","46.0380","44.7086","47.3329","44.3565","70.18M","2.97%"
"2022년 01월 14일","44.7086","40.9490","44.7105","40.7181","71.37M","9.23%"
"2022년 01월 13일","40.9323","41.4501","42.4807","40.6406","43.10M","-1.24%"
"2022년 01월 12일","41.4458","39.7598","41.7528","39.5737","38.90M","4.23%"
"2022년 01월 11일","39.7637","38.0892","39.9217","37.7620","46.43M","4.40%"
"2022년 01월 10일","38.0892","37.1612","38.3109","35.3355","80.08M","2.50%"
"2022년 01월 09일","37.1612","35.2002","37.6994","34.9873","39.46M","5.57%"
"2022년 01월 08일","35.2003","35.4879","36.4732","33.8020","45.26M","-0.82%"
"2022년 01월 07일","35.4918","38.6195","38.6558","34.8461","67.94M","-8.12%"
"2022년 01월 06일","38.6273","38.0503","39.3620","36.4212","68.20M","1.62%"
"2022년 01월 05일","38.0128","41.3780","42.7668","37.1282","85.91M","-8.13%"
"2022년 01월 04일","41.3780","40.2079","43.6235","39.2498","76.47M","2.93%"
"2022년 01월 03일","40.2001","40.1590","41.5983","39.3811","76.44M","0.06%"
"2022년 01월 02일","40.1777","40.2087","40.6299","39.3009","30.28M","-0.07%"
"2022년 01월 01일","40.2049","38.2699","40.2780","38.2551","20.75M","5.06%"
"2021년 12월 31일","38.2697","38.8696","40.2972","37.9238","68.07M","-1.54%"
"2021년 12월 30일","38.8696","38.5263","40.3489","38.0636","32.50M","0.89%"
"2021년 12월 29일","38.5263","40.0248","40.4701","38.1191","29.25M","-3.73%"
"2021년 12월 28일","40.0179","42.6118","42.6148","39.4128","43.01M","-6.05%"
"2021년 12월 27일","42.5941","42.5724","43.6292","42.2058","27.79M","0.05%"
"2021년 12월 26일","42.5714","42.7616","42.9811","42.0056","14.31M","-0.43%"
"2021년 12월 25일","42.7538","42.6760","43.2060","42.4580","11.99M","0.19%"
"2021년 12월 24일","42.6729","43.0977","43.6689","42.3331","31.09M","-0.99%"
"2021년 12월 23일","43.0977","41.3438","43.4419","40.8250","29.81M","4.24%"
"2021년 12월 22일","41.3438","42.0072","42.6228","41.1127","24.86M","-1.63%"
"2021년 12월 21일","42.0287","40.5877","42.6188","40.4454","29.17M","3.52%"
"2021년 12월 20일","40.5985","39.7676","40.7122","38.5504","43.42M","2.09%"
"2021년 12월 19일","39.7676","39.9395","41.1288","39.4860","23.40M","-0.39%"
"2021년 12월 18일","39.9245","37.5538","40.3208","37.2974","34.39M","6.35%"
"2021년 12월 17일","37.5400","38.3856","38.6910","36.0170","32.41M","-2.20%"
"2021년 12월 16일","38.3856","39.2477","39.5901","38.3218","17.39M","-2.20%"
"2021년 12월 15일","39.2477","38.8419","39.7530","36.8186","43.80M","1.03%"
"2021년 12월 14일","38.8459","37.7546","39.1674","37.1980","25.78M","2.78%"
"2021년 12월 13일","37.7948","41.2913","42.0748","37.1025","41.50M","-8.47%"
"2021년 12월 12일","41.2914","40.4181","41.7734","39.8979","18.79M","2.22%"
"2021년 12월 11일","40.3935","38.6318","40.5138","38.1535","18.09M","4.53%"
"2021년 12월 10일","38.6435","40.2382","41.0430","38.4203","43.38M","-3.98%"
"2021년 12월 09일","40.2450","44.0311","44.2996","39.7335","33.37M","-8.60%"
"2021년 12월 08일","44.0310","42.9135","44.1943","41.3818","36.19M","2.63%"
"2021년 12월 07일","42.9026","44.0056","44.7003","42.4978","47.63M","-2.51%"
"2021년 12월 06일","44.0057","43.8656","44.3366","40.1324","67.15M","0.31%"
"2021년 12월 05일","43.8719","44.0639","44.7359","42.0941","39.89M","-0.44%"
"2021년 12월 04일","44.0639","47.0471","47.2678","37.9794","84.41M","-6.29%"
"2021년 12월 03일","47.0211","49.3680","49.8987","45.4285","53.45M","-4.75%"
"2021년 12월 02일","49.3679","50.8324","50.8324","48.2380","56.64M","-2.86%"
"2021년 12월 01일","50.8236","50.5997","51.7032","49.4688","59.24M","0.42%"
"2021년 11월 30일","50.6095","51.6788","52.4039","49.9588","71.82M","-2.07%"
"2021년 11월 29일","51.6788","50.9154","52.0466","50.2336","56.61M","1.50%"
"2021년 11월 28일","50.9174","48.1112","50.9336","46.0999","46.33M","5.85%"
"2021년 11월 27일","48.1014","47.4802","49.1152","47.4099","35.05M","1.30%"
"2021년 11월 26일","47.4832","52.9801","53.0755","46.5462","89.95M","-10.38%"
"2021년 11월 25일","52.9801","50.1485","53.1495","49.8995","69.30M","5.59%"
"2021년 11월 24일","50.1762","50.5456","50.8306","48.0855","55.03M","-0.74%"
"2021년 11월 23일","50.5505","49.4257","51.2756","48.7958","45.73M","2.22%"
"2021년 11월 22일","49.4521","51.9085","51.9574","47.7669","62.05M","-4.83%"
"2021년 11월 21일","51.9613","53.4161","53.4547","51.6030","35.74M","-2.72%"
"2021년 11월 20일","53.4141","52.4776","53.5089","50.8752","40.72M","1.78%"
"2021년 11월 19일","52.4776","50.4244","52.7726","49.2871","61.81M","4.07%"
"2021년 11월 18일","50.4244","51.6412","52.3705","46.7560","95.26M","-2.36%"
"2021년 11월 17일","51.6414","50.3506","51.7365","49.1740","58.13M","2.58%"
"2021년 11월 16일","50.3401","54.9576","54.9576","48.3637","167.35M","-8.38%"
"2021년 11월 15일","54.9418","56.0018","57.4775","54.8828","68.74M","-1.89%"
"2021년 11월 14일","56.0018","55.6910","56.5385","54.7628","60.31M","0.56%"
"2021년 11월 13일","55.6919","58.0013","58.3004","54.4424","2.72M","-3.97%"
"2021년 11월 12일","57.9967","59.2000","60.1167","56.1413","1.24M","-2.03%"
"2021년 11월 11일","59.2000","59.0169","60.5294","58.3944","921.27K","0.31%"
"2021년 11월 10일","59.0169","62.3615","64.4161","57.5231","1.92M","-5.37%"
"2021년 11월 09일","62.3633","65.2583","65.6863","61.8343","868.95K","-4.44%"
"2021년 11월 08일","65.2604","63.9489","65.5926","62.9433","1.72M","2.07%"
"2021년 11월 07일","63.9394","61.4702","64.2401","61.0204","1.78M","4.03%"
"2021년 11월 06일","61.4652","58.8514","61.4888","57.8128","1.01M","4.44%"
"2021년 11월 05일","58.8514","59.6279","60.4187","58.1315","1.00M","-1.31%"
"2021년 11월 04일","59.6299","62.4902","62.6665","58.4100","1.19M","-4.52%"
"2021년 11월 03일","62.4552","61.1758","62.8738","59.7532","1.71M","2.17%"
"2021년 11월 02일","61.1280","59.0764","61.2281","58.4810","1.70M","3.46%"
"2021년 11월 01일","59.0819","59.3629","60.0117","57.3992","1.26M","-0.47%"
"2021년 10월 31일","59.3629","59.5212","60.2459","57.5606","907.64K","-0.26%"
"2021년 10월 30일","59.5201","61.4067","61.9222","58.8023","851.01K","-2.93%"
"2021년 10월 29일","61.3148","60.2322","61.8897","59.9939","1.07M","1.88%"
"2021년 10월 28일","60.1828","57.9547","61.6347","57.1818","2.08M","3.83%"
"2021년 10월 27일","57.9623","62.7459","64.2906","56.7387","2.78M","-7.61%"
"2021년 10월 26일","62.7373","65.7228","69.7329","62.3526","2.61M","-4.54%"
"2021년 10월 25일","65.7227","61.8570","66.0104","61.6504","1.62M","6.25%"
"2021년 10월 24일","61.8587","63.4049","63.6474","60.0067","1.07M","-2.44%"
"2021년 10월 23일","63.4049","62.8682","63.8072","60.8981","1.32M","0.86%"
"2021년 10월 22일","62.8640","61.5964","66.3449","61.5964","2.94M","2.07%"
"2021년 10월 21일","61.5889","61.3748","67.5289","60.0727","7.27M","0.35%"
"2021년 10월 20일","61.3748","57.0856","62.3533","56.4714","2.68M","7.52%"
