"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 10월 19일","19,123.9","19,328.2","19,358.6","19,101.2","209.28K","-1.06%"
"2022년 10월 18일","19,328.2","19,548.4","19,692.9","19,102.8","290.07K","-1.13%"
"2022년 10월 17일","19,548.2","19,262.2","19,663.5","19,163.6","248.40K","1.49%"
"2022년 10월 16일","19,261.9","19,068.8","19,411.9","19,066.0","140.95K","1.01%"
"2022년 10월 15일","19,068.7","19,181.7","19,218.7","19,000.8","123.66K","-0.59%"
"2022년 10월 14일","19,181.8","19,379.8","19,933.9","19,098.6","400.45K","-1.02%"
"2022년 10월 13일","19,379.8","19,154.6","19,494.4","18,207.9","455.13K","1.17%"
"2022년 10월 12일","19,154.8","19,058.5","19,212.6","19,010.6","242.18K","0.50%"
"2022년 10월 11일","19,059.1","19,134.3","19,261.3","18,868.7","288.57K","-0.39%"
"2022년 10월 10일","19,134.6","19,441.7","19,520.7","19,057.0","243.77K","-1.58%"
"2022년 10월 09일","19,441.0","19,416.3","19,552.1","19,329.6","127.53K","0.13%"
"2022년 10월 08일","19,415.0","19,530.2","19,612.2","19,274.7","113.50K","-0.60%"
"2022년 10월 07일","19,531.3","19,962.4","20,051.4","19,352.1","263.50K","-2.13%"
"2022년 10월 06일","19,956.7","20,157.5","20,436.7","19,873.7","370.60K","-1.00%"
"2022년 10월 05일","20,157.5","20,340.5","20,353.8","19,761.7","352.76K","-0.90%"
"2022년 10월 04일","20,340.2","19,629.7","20,436.1","19,506.4","368.17K","3.63%"
"2022년 10월 03일","19,628.3","19,057.6","19,676.0","19,001.3","333.03K","3.02%"
"2022년 10월 02일","19,052.2","19,311.9","19,389.9","18,937.3","222.82K","-1.34%"
"2022년 10월 01일","19,311.9","19,422.9","19,480.3","19,172.6","173.91K","-0.57%"
"2022년 09월 30일","19,423.0","19,593.4","20,174.9","19,208.9","490.29K","-0.87%"
"2022년 09월 29일","19,593.0","19,420.2","19,631.5","18,877.9","449.57K","0.94%"
"2022년 09월 28일","19,411.0","19,083.4","19,757.8","18,505.3","581.19K","1.73%"
"2022년 09월 27일","19,081.0","19,228.8","20,361.2","18,850.4","660.12K","-0.75%"
"2022년 09월 26일","19,225.7","18,803.1","19,304.8","18,695.2","516.03K","2.25%"
"2022년 09월 25일","18,803.2","18,925.1","19,125.1","18,659.6","209.71K","-0.64%"
"2022년 09월 24일","18,925.2","19,288.4","19,310.6","18,812.0","258.50K","-1.91%"
"2022년 09월 23일","19,293.5","19,404.1","19,477.3","18,554.8","431.15K","-0.57%"
"2022년 09월 22일","19,404.0","18,488.1","19,490.9","18,371.0","448.63K","4.95%"
"2022년 09월 21일","18,489.0","18,875.1","19,758.4","18,191.8","446.85K","-2.03%"
"2022년 09월 20일","18,872.4","19,538.9","19,626.3","18,742.6","361.18K","-3.41%"
"2022년 09월 19일","19,538.9","19,417.4","19,666.6","18,277.8","423.43K","0.62%"
"2022년 09월 18일","19,418.8","20,113.9","20,113.9","19,347.7","273.11K","-3.45%"
"2022년 09월 17일","20,113.5","19,802.8","20,178.6","19,761.0","204.58K","1.57%"
"2022년 09월 16일","19,802.4","19,701.9","19,883.0","19,352.9","315.59K","0.51%"
"2022년 09월 15일","19,701.7","20,222.3","20,321.4","19,532.3","358.42K","-2.58%"
"2022년 09월 14일","20,222.5","20,175.5","20,503.7","19,654.2","374.22K","0.23%"
"2022년 09월 13일","20,175.5","22,395.3","22,702.5","19,909.6","485.32K","-9.91%"
"2022년 09월 12일","22,395.3","21,836.6","22,465.4","21,581.6","431.98K","2.57%"
"2022년 09월 11일","21,834.9","21,650.4","21,836.4","21,363.0","297.12K","0.85%"
"2022년 09월 10일","21,650.4","21,363.8","21,790.6","21,139.9","331.12K","1.33%"
"2022년 09월 09일","21,365.2","19,318.8","21,545.7","19,294.1","480.37K","10.60%"
"2022년 09월 08일","19,317.4","19,281.5","19,444.7","19,034.5","291.43K","0.19%"
"2022년 09월 07일","19,281.5","18,786.3","19,445.9","18,548.4","319.10K","2.64%"
"2022년 09월 06일","18,786.4","19,793.4","20,169.3","18,723.3","402.43K","-5.09%"
"2022년 09월 05일","19,793.1","19,999.9","20,042.9","19,650.7","238.71K","-1.03%"
