,종류,날짜,연,월,종가(USD),종가(KRW),원달러환율,거래량
69,루나,2022-4,2022,04,78.1413,96296.64964199999,1232.34,0
70,루나,2022-3,2022,03,103.0498,125826.89729400001,1221.03,0
71,루나,2022-2,2022,02,91.2807,109385.31403799998,1198.34,0
72,루나,2022-1,2022,01,52.1104,62220.338703999994,1194.01,0
73,루나,2021-12,2021,12,85.5179,101227.53823,1183.7,0
74,루나,2021-11,2021,11,59.6047,70506.995677,1182.91,0
75,루나,2021-10,2021,10,42.8985,50741.20376999999,1182.82,0
76,루나,2021-9,2021,09,38.8399,45424.816646,1169.54,0
77,루나,2021-8,2021,08,31.5548,36614.296632,1160.34,0
78,루나,2021-7,2021,07,10.7243,12268.384714,1143.98,0
79,루나,2021-6,2021,06,6.5576,7353.03688,1121.3,0
80,루나,2021-5,2021,05,6.5519,7359.618232,1123.28,0
81,루나,2021-4,2021,04,16.6885,18681.106900000002,1119.4,0
82,루나,2021-3,2021,03,18.6832,21131.072863999998,1131.02,0
