"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월 04일","1,645.01","1,531.06","1,666.17","1,528.60","1.07M","7.44%"
"2022년 11월 03일","1,531.08","1,518.99","1,558.75","1,515.75","631.90K","0.79%"
"2022년 11월 02일","1,519.04","1,579.59","1,618.82","1,503.29","1.14M","-3.84%"
"2022년 11월 01일","1,579.64","1,572.89","1,609.10","1,564.69","593.31K","0.43%"
"2022년 10월 31일","1,572.89","1,590.47","1,634.17","1,550.72","938.65K","-1.11%"
"2022년 10월 30일","1,590.47","1,619.67","1,638.60","1,577.35","542.49K","-1.80%"
"2022년 10월 29일","1,619.69","1,554.47","1,660.13","1,548.83","1.05M","4.20%"
"2022년 10월 28일","1,554.47","1,514.14","1,572.66","1,489.99","966.35K","2.66%"
"2022년 10월 27일","1,514.19","1,566.18","1,575.90","1,508.24","1.02M","-3.32%"
"2022년 10월 26일","1,566.16","1,459.60","1,590.23","1,458.61","1.43M","7.30%"
"2022년 10월 25일","1,459.60","1,343.88","1,522.06","1,335.38","1.28M","8.61%"
"2022년 10월 24일","1,343.88","1,364.19","1,369.35","1,324.25","665.58K","-1.47%"
"2022년 10월 23일","1,363.92","1,313.64","1,370.91","1,301.80","473.61K","3.83%"
"2022년 10월 22일","1,313.64","1,299.76","1,318.84","1,294.61","244.20K","1.07%"
"2022년 10월 21일","1,299.76","1,282.87","1,306.27","1,257.83","525.54K","1.32%"
"2022년 10월 20일","1,282.87","1,285.33","1,310.47","1,272.79","483.19K","-0.19%"
"2022년 10월 19일","1,285.32","1,310.81","1,313.46","1,282.44","406.74K","-1.94%"
"2022년 10월 18일","1,310.81","1,331.40","1,341.21","1,287.58","625.85K","-1.53%"
"2022년 10월 17일","1,331.12","1,305.95","1,338.39","1,296.45","498.15K","1.93%"
"2022년 10월 16일","1,305.95","1,274.93","1,314.52","1,274.66","333.15K","2.46%"
"2022년 10월 15일","1,274.57","1,296.74","1,301.48","1,264.86","321.11K","-1.71%"
"2022년 10월 14일","1,296.74","1,287.33","1,342.01","1,284.08","734.03K","0.73%"
"2022년 10월 13일","1,287.34","1,294.56","1,299.74","1,196.63","1.09M","-0.56%"
"2022년 10월 12일","1,294.57","1,279.97","1,304.45","1,275.77","418.57K","1.14%"
"2022년 10월 11일","1,279.97","1,290.00","1,297.59","1,269.35","498.63K","-0.78%"
"2022년 10월 10일","1,290.04","1,323.17","1,337.58","1,288.68","451.44K","-2.52%"
"2022년 10월 09일","1,323.41","1,315.08","1,328.55","1,308.15","210.50K","0.64%"
"2022년 10월 08일","1,315.05","1,331.07","1,336.69","1,304.08","227.70K","-1.20%"
"2022년 10월 07일","1,330.99","1,352.17","1,361.26","1,319.17","574.76K","-1.57%"
"2022년 10월 06일","1,352.27","1,352.07","1,383.02","1,347.78","680.65K","0.01%"
"2022년 10월 05일","1,352.07","1,361.51","1,364.03","1,317.58","564.42K","-0.69%"
"2022년 10월 04일","1,361.48","1,323.37","1,367.30","1,318.87","550.05K","2.88%"
"2022년 10월 03일","1,323.41","1,277.02","1,329.16","1,266.86","604.19K","3.74%"
"2022년 10월 02일","1,275.74","1,311.80","1,317.41","1,272.38","432.45K","-2.75%"
"2022년 10월 01일","1,311.80","1,328.73","1,333.61","1,303.22","293.02K","-1.27%"
"2022년 09월 30일","1,328.73","1,336.05","1,372.44","1,316.62","866.63K","-0.55%"
"2022년 09월 29일","1,336.08","1,337.34","1,351.61","1,289.66","871.66K","-0.10%"
"2022년 09월 28일","1,337.37","1,328.23","1,354.75","1,261.29","1.08M","0.69%"
"2022년 09월 27일","1,328.23","1,337.07","1,399.67","1,305.49","1.00M","-0.66%"
"2022년 09월 26일","1,337.06","1,294.24","1,339.17","1,279.71","1.05M","3.31%"
"2022년 09월 25일","1,294.26","1,317.01","1,335.73","1,271.87","579.09K","-1.73%"
"2022년 09월 24일","1,317.00","1,327.91","1,348.91","1,307.96","559.42K","-0.83%"
"2022년 09월 23일","1,327.96","1,326.12","1,356.74","1,264.91","1.16M","0.11%"
"2022년 09월 22일","1,326.44","1,247.64","1,346.38","1,237.96","1.11M","6.31%"
"2022년 09월 21일","1,247.74","1,323.34","1,388.38","1,222.29","1.39M","-5.71%"
"2022년 09월 20일","1,323.33","1,375.96","1,384.39","1,315.03","765.14K","-3.83%"
"2022년 09월 19일","1,376.00","1,334.82","1,391.50","1,284.50","1.11M","3.07%"
"2022년 09월 18일","1,335.01","1,468.76","1,469.21","1,327.21","934.28K","-9.11%"
"2022년 09월 17일","1,468.79","1,434.01","1,475.05","1,409.65","483.78K","2.43%"
"2022년 09월 16일","1,434.01","1,472.63","1,483.43","1,410.90","829.01K","-2.62%"
"2022년 09월 15일","1,472.64","1,637.89","1,653.55","1,461.16","1.66M","-10.09%"
"2022년 09월 14일","1,637.92","1,574.41","1,646.09","1,556.97","858.28K","4.03%"
"2022년 09월 13일","1,574.47","1,716.45","1,751.50","1,562.30","1.30M","-8.27%"
"2022년 09월 12일","1,716.42","1,766.99","1,782.74","1,694.08","727.78K","-2.86%"
"2022년 09월 11일","1,766.93","1,774.38","1,786.73","1,722.62","467.42K","-0.42%"
"2022년 09월 10일","1,774.38","1,718.84","1,788.10","1,707.81","470.19K","3.23%"
"2022년 09월 09일","1,718.81","1,635.33","1,743.47","1,631.17","969.87K","5.14%"
"2022년 09월 08일","1,634.85","1,629.63","1,660.56","1,595.90","772.84K","0.33%"
"2022년 09월 07일","1,629.51","1,557.85","1,657.05","1,493.19","976.59K","4.60%"
"2022년 09월 06일","1,557.85","1,617.40","1,686.23","1,556.09","1.18M","-3.66%"
"2022년 09월 05일","1,617.07","1,578.90","1,628.77","1,557.66","571.75K","2.42%"
"2022년 09월 04일","1,578.89","1,557.35","1,580.81","1,541.16","339.06K","1.37%"
"2022년 09월 03일","1,557.55","1,575.31","1,581.37","1,535.98","378.79K","-1.13%"
"2022년 09월 02일","1,575.34","1,585.55","1,647.50","1,547.68","1.04M","-0.64%"
"2022년 09월 01일","1,585.48","1,554.57","1,597.48","1,514.75","823.90K","1.95%"
"2022년 08월 31일","1,555.12","1,523.39","1,617.09","1,523.39","1.07M","2.09%"
"2022년 08월 30일","1,523.34","1,552.56","1,605.30","1,475.68","1.14M","-1.88%"
"2022년 08월 29일","1,552.60","1,426.25","1,559.46","1,424.33","931.76K","8.86%"
"2022년 08월 28일","1,426.25","1,490.88","1,507.92","1,424.69","633.35K","-4.33%"
"2022년 08월 27일","1,490.83","1,508.32","1,518.14","1,449.31","866.82K","-1.14%"
"2022년 08월 26일","1,508.08","1,695.38","1,703.32","1,490.67","1.34M","-11.05%"
"2022년 08월 25일","1,695.37","1,656.64","1,720.84","1,654.77","677.67K","2.34%"
"2022년 08월 24일","1,656.64","1,665.30","1,691.25","1,606.06","827.20K","-0.50%"
"2022년 08월 23일","1,664.89","1,626.70","1,672.63","1,564.37","1.05M","2.34%"
"2022년 08월 22일","1,626.75","1,618.21","1,627.13","1,531.91","1.04M","0.53%"
"2022년 08월 21일","1,618.25","1,575.61","1,644.88","1,563.92","852.07K","2.71%"
"2022년 08월 20일","1,575.60","1,609.01","1,654.84","1,525.51","1.01M","-2.11%"
"2022년 08월 19일","1,609.48","1,846.52","1,846.97","1,607.60","1.59M","-12.84%"
