"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 07월 22일","2.40613","2.47006","2.49560","2.40082","201.18K","-2.61%"
"2022년 07월 21일","2.47053","2.41969","2.49653","2.37803","915.09K","2.58%"
"2022년 07월 20일","2.40830","2.54947","2.67314","2.40463","489.09K","-5.54%"
"2022년 07월 19일","2.54947","2.44443","2.57043","2.39366","279.36K","3.89%"
"2022년 07월 18일","2.45394","2.34661","2.50376","2.33416","153.57K","4.57%"
"2022년 07월 17일","2.34661","2.38118","2.40807","2.34221","72.81K","-1.45%"
"2022년 07월 16일","2.38118","2.36694","2.38560","2.32071","50.01K","0.60%"
"2022년 07월 15일","2.36694","2.37253","2.37253","2.31589","69.98K","-0.24%"
"2022년 07월 14일","2.37253","2.33429","2.37255","2.25106","59.04K","1.64%"
"2022년 07월 13일","2.33429","2.25539","2.34433","2.17403","104.16K","3.50%"
"2022년 07월 12일","2.25539","2.38063","2.38796","2.22811","329.16K","-4.79%"
"2022년 07월 11일","2.36888","2.50900","2.54648","2.36888","298.90K","-5.58%"
"2022년 07월 10일","2.50900","2.61389","2.61920","2.50000","117.92K","-4.09%"
"2022년 07월 09일","2.61593","2.60954","2.63738","2.59542","205.09K","0.24%"
"2022년 07월 08일","2.60954","2.64925","2.67500","2.57731","54.12K","-1.50%"
"2022년 07월 07일","2.64925","2.59696","2.65151","2.56178","56.07K","2.01%"
"2022년 07월 06일","2.59696","2.60302","2.60302","2.55488","35.69K","-0.23%"
"2022년 07월 05일","2.60302","2.67356","2.67713","2.52264","60.06K","-2.64%"
"2022년 07월 04일","2.67356","2.67338","2.67914","2.49065","111.05K","0.01%"
"2022년 07월 03일","2.67338","2.70685","2.70685","2.61811","30.93K","-1.24%"
"2022년 07월 02일","2.70685","2.72400","2.74234","2.65712","39.83K","-0.63%"
"2022년 07월 01일","2.72400","2.84729","2.92943","2.68665","63.87K","-4.33%"
"2022년 06월 30일","2.84729","2.91424","2.93905","2.66000","149.01K","-2.30%"
"2022년 06월 29일","2.91424","2.89070","3.01000","2.83454","153.63K","0.81%"
"2022년 06월 28일","2.89070","2.79949","3.09507","2.68381","146.65K","3.26%"
